gene	GSM1483739	GSM1483740	128-cell-1	128-cell-2	1k-cell-1	1k-cell-2	1-cell-1	1-cell-2
ENSDARG00000089747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089749	0.0	0.0	0.432587	0.525719	0.0	0.0	0.0	0.0
ENSDARG00000089750	1.058746	0.0	0.0	0.0	0.0	0.389069	0.268357	0.325431
ENSDARG00000089758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089765	110.32037	124.6641	80.559601	85.406288	65.422021	83.005453	165.355168	158.760163
ENSDARG00000089766	0.0	0.0	0.434713	0.124877	0.0	0.0	0.094688	0.0
ENSDARG00000089767	0.0	0.0	0.531571	1.236757	0.0	0.551455	0.107944	0.277736
ENSDARG00000089769	0.0	0.0	1.336359	1.593781	3.624513	1.104597	0.540933	0.0
ENSDARG00000089780	0.0	0.0	21.579069	21.465859	20.257095	20.822577	9.702768	7.809938
ENSDARG00000089781	0.0	0.0	46.306229	44.402807	41.151302	46.19304	8.636193	10.984541
ENSDARG00000089787	0.0	0.0	2.037523	2.558519	4.056082	3.721418	1.369609	2.740179
ENSDARG00000089790	4.61267	0.0	7.008412	13.017994	8.200522	9.30573	1.149527	4.662373
ENSDARG00000089791	4.155635	0.0	19.77417	20.274999	17.72157	20.939644	4.77612	6.000817
ENSDARG00000089794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089795	0.0	0.0	0.416059	0.304482	1.018671	2.579466	0.0	0.391595
ENSDARG00000089799	0.0	0.0	1.268939	2.129843	1.395583	2.200452	0.430539	0.549994
ENSDARG00000089800	0.0	0.0	0.0	0.244468	0.0	0.0	0.0	0.0
ENSDARG00000089802	7.329135	11.838413	26.92339	28.341943	28.317416	28.11127	1.419289	1.450256
ENSDARG00000089805	2.02498	0.0	0.550907	0.870053	0.595888	0.648386	0.353154	0.214206
ENSDARG00000089806	0.0	0.0	0.0	0.0	0.54724	0.275744	0.0	0.0
ENSDARG00000089814	0.0	0.0	0.0	0.0	0.617541	0.185994	0.0	0.0
ENSDARG00000089821	0.0	0.0	1.69491	1.411867	3.379006	3.544966	0.13811	0.081078
ENSDARG00000089824	0.0	0.0	0.43864	0.503591	0.358098	0.189688	0.0	0.0
ENSDARG00000089828	8.246211	11.41041	66.925408	77.332051	84.289234	76.043122	14.915631	18.742907
ENSDARG00000089829	0.0	0.0	0.511192	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089833	0.0	0.0	4.497923	3.491225	3.269016	7.297937	0.739428	1.53329
ENSDARG00000089836	33.439311	0.0	16.740483	19.527558	15.728518	21.254804	8.580543	9.663722
ENSDARG00000089837	0.0	0.0	2.909838	3.097076	4.29583	2.669255	0.63503	2.84109
ENSDARG00000089838	0.0	0.0	0.0	0.0	0.196133	0.277438	0.0	0.237662
ENSDARG00000089839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089844	0.0	0.0	18.759718	27.790486	18.48893	18.341804	9.457596	16.292287
ENSDARG00000089845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089848	0.0	0.0	2.504395	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089853	0.0	0.0	3.224281	1.790303	2.47838	2.067557	0.788602	1.279211
